title,author,rating,reviews,price,year,fiction flag
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet・ｦ,Thomas Campbell,4.7,5128,24.99,2011,FALSE
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,23500,0.94,2018,FALSE
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,23500,0.94,2019,FALSE
The Confession: A Novel,John Grisham,4.4,4649,15.37,2010,TRUE
The Constitution of the United States,Delegates of the Constitutional・ｦ,4.9,4719,0.99,2016,FALSE
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.5,525,15,2010,FALSE
The Day the Crayons Quit,Drew Daywalt,4.8,15374,1.49,2014,TRUE
The Day the Crayons Quit,Drew Daywalt,4.8,15374,1.49,2013,TRUE
The Day the Crayons Quit,Drew Daywalt,4.8,15374,1.49,2015,TRUE
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,4.9,34340,2,2020,TRUE
The Fault in Our Stars,John Green,4.7,56924,10.07,2013,TRUE
The Fault in Our Stars,John Green,4.7,56924,10.07,2012,TRUE
The Fault in Our Stars,John Green,4.7,56924,10.07,2014,TRUE
The Fault in Our Stars,John Green,4.7,56924,0.35,2014,TRUE
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,4733,18.2,2013,FALSE
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,4733,18.2,2010,FALSE
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,4733,18.2,2012,FALSE
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,4733,18.2,2011,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2015,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2017,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2013,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2020,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2018,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2019,FALSE
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,59704,1.23,2016,FALSE
The Getaway,Jeff Kinney,4.8,12378,11.82,2017,TRUE
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,9466,13.29,2011,TRUE
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,9466,13.29,2010,TRUE
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.6,1697194,0.02,2010,TRUE
The Girl on the Train,Paula Hawkins,4.1,86655,12.09,2015,TRUE
The Girl on the Train,Paula Hawkins,4.1,86655,0.25,2016,TRUE
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.6,1697194,7.99,2010,TRUE
The Going-To-Bed Book,Sandra Boynton,4.8,10589,0.25,2016,TRUE
The Going-To-Bed Book,Sandra Boynton,4.8,10589,0.25,2017,TRUE
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4,38738,2.07,2014,TRUE
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,4,38738,2.07,2013,TRUE
The Great Gatsby,F. Scott Fitzgerald,4.4,15579,13.6,2012,TRUE
The Great Gatsby,F. Scott Fitzgerald,4.4,15579,13.6,2013,TRUE
The Great Gatsby,F. Scott Fitzgerald,4.4,15579,13.6,2014,TRUE
The Guardians: A Novel,John Grisham,4.5,26680,21.91,2019,TRUE
The Handmaid's Tale,Margaret Atwood,4.6,1697194,0.95,2017,TRUE
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.7,16427,6,2012,TRUE
The Hate U Give,Angie Thomas,4.8,19837,12.34,2018,TRUE
The Help,Kathryn Stockett,4.8,16177,0.25,2011,TRUE
The Help,Kathryn Stockett,4.8,16177,9.94,2011,TRUE
The Help,Kathryn Stockett,4.6,1697194,0.59,2010,TRUE
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,11291,1.87,2013,TRUE
The Hunger Games,Suzanne Collins,4.7,37096,13.58,2010,TRUE
The Hunger Games (Book 1),Suzanne Collins,4.7,37096,11.99,2012,TRUE
The Hunger Games (Book 1),Suzanne Collins,4.7,37096,11.99,2011,TRUE
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,23345,65,2011,TRUE
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,23345,65,2012,TRUE
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,14109,0.94,2011,FALSE
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,14109,0.94,2012,FALSE
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,14109,1.59,2010,FALSE
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4,11192,1.34,2018,FALSE
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4,11192,1.34,2017,FALSE
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,9408,0.59,2010,TRUE
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,7764,11.18,2013,FALSE
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.5,7874,1.59,2011,FALSE
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.5,7874,1.59,2012,FALSE
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondﾅ・,4.5,26301,0.35,2017,FALSE
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondﾅ・,4.5,26301,0.35,2019,FALSE
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondﾅ・,4.5,26301,0.35,2015,FALSE
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondﾅ・,4.5,26301,0.35,2016,FALSE
The Litigators,John Grisham,4.5,8094,12.98,2011,TRUE
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,7612,14.42,2010,TRUE
The Magnolia Story,Chip Gaines,4.8,9647,12.09,2016,FALSE
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,10247,0.59,2012,TRUE
The Martian,Andy Weir,4.7,44413,9.36,2015,TRUE
The Maze Runner (Book 1),James Dashner,4.5,12266,0.35,2014,TRUE
The Mueller Report,The Washington Post,4.6,3826,0.59,2019,FALSE
The Nightingale: A Novel,Kristin Hannah,4.8,71380,2.13,2015,TRUE
The Nightingale: A Novel,Kristin Hannah,4.8,71380,2.13,2016,TRUE
The Official SAT Study Guide,The College Board,4.4,1443,0.99,2012,FALSE
The Official SAT Study Guide,The College Board,4.4,1443,0.99,2011,FALSE
The Official SAT Study Guide,The College Board,4.4,1443,0.99,2013,FALSE
The Official SAT Study Guide,The College Board,4.4,1443,0.99,2010,FALSE
The Official SAT Study Guide,The College Board,4.4,1443,0.99,2014,FALSE
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,1001,49,2016,FALSE
The Paris Wife: A Novel,Paula McLain,4.4,4537,19.45,2011,TRUE
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve・ｦ",Ree Drummond,4.8,6273,3.27,2015,FALSE
"The Pioneer Woman Cooks・・A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,4018,14.65,2013,FALSE
The Pioneer Woman Cooks・・Food from My Frontier,Ree Drummond,4.8,4033,1.99,2012,FALSE
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free (The・ｦ",Dr. Steven R Gundry MD,4.4,6686,6.69,2018,FALSE
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry MD,4.4,11515,13.99,2018,FALSE
The Pout-Pout Fish,Deborah Diesen,4.9,18607,0.96,2018,TRUE
The Pout-Pout Fish,Deborah Diesen,4.9,18607,0.96,2017,TRUE
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,17113,2.53,2012,FALSE
The President Is Missing: A Novel,James Patterson,4.4,15070,15.58,2018,TRUE
The Racketeer,John Grisham,4.3,18279,15.99,2012,TRUE
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.7,3497,0.59,2010,TRUE
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",Hayek,4.7,1870,17,2010,FALSE
The Room Where It Happened: A White House Memoir,John Bolton,4.3,48061,14.6,2020,FALSE
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,3692,14.32,2012,TRUE
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7,21938,8.25,2017,TRUE
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.7,4796,12.8,2010,TRUE
The Silent Patient,Alex Michaelides,4.5,79882,13.89,2019,TRUE
The Silent Patient,Alex Michaelides,4.5,79882,13.89,2020,TRUE
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,7793,0.55,2011,TRUE
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.6,1697195,7.67,2020,FALSE
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,53428,8.93,2019,FALSE
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,53428,8.93,2018,FALSE
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,53428,8.93,2017,FALSE
The Sun and Her Flowers,Rupi Kaur,4.8,12337,0.99,2017,FALSE
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,9728,12.99,2012,TRUE
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.8,2680,1.33,2011,TRUE
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,21800,11.89,2019,FALSE
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,7449,8.99,2010,TRUE
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for・ｦ,Dinah Bucholz,4.7,23136,1.93,2019,FALSE
The Vanishing Half: A Novel,Brit Bennett,4.4,68578,9.92,2020,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2016,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2017,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2014,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2015,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2019,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2018,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2013,TRUE
The Very Hungry Caterpillar,Eric Carle,4.9,36376,5.05,2020,TRUE
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,12898,5.12,2015,FALSE
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,12898,5.12,2017,FALSE
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,12898,5.12,2016,FALSE
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,16118,1.99,2018,TRUE
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,16118,1.99,2016,TRUE
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,16118,1.99,2017,TRUE
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,16118,1.99,2019,TRUE
The Wonky Donkey,Craig Smith,4.8,59997,1.14,2020,TRUE
The Wonky Donkey,Craig Smith,4.8,59997,1.14,2018,TRUE
The Wonky Donkey,Craig Smith,4.8,59997,1.14,2019,TRUE
The Wright Brothers,David McCullough,4.7,7034,1.33,2015,FALSE
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7614,13.99,2013,FALSE
"Thinking, Fast and Slow",Daniel Kahneman,4.6,20760,25.49,2011,FALSE
"Thinking, Fast and Slow",Daniel Kahneman,4.6,20760,25.49,2012,FALSE
Thirteen Reasons Why,Jay Asher,4.5,11970,0.25,2017,TRUE
Thomas Jefferson: The Art of Power,Jon Meacham,4.6,2501,18.67,2012,FALSE
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.4,3440,10.9,2010,FALSE
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,13415,44,2017,FALSE
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,13415,44,2016,FALSE
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,13415,44,2014,FALSE
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,13415,44,2015,FALSE
Tina Fey: Bossypants,Tina Fey,4.6,1697194,11.3,2011,FALSE
To Kill a Mockingbird,Harper Lee,4.6,1697194,1.23,2019,TRUE
To Kill a Mockingbird,Harper Lee,4.6,1697194,0.35,2013,TRUE
To Kill a Mockingbird,Harper Lee,4.6,1697194,0.35,2016,TRUE
To Kill a Mockingbird,Harper Lee,4.6,1697194,0.35,2015,TRUE
To Kill a Mockingbird,Harper Lee,4.6,1697194,0.35,2014,TRUE
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump Ph.D.,4.6,99089,10.34,2020,FALSE
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.7,6267,15.68,2017,FALSE
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,3648,23.74,2010,TRUE
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.6,4148,1.15,2014,FALSE
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,31894,0.36,2011,FALSE
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,31894,0.36,2014,FALSE
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,31894,0.36,2012,FALSE
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,31894,0.36,2010,FALSE
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,31894,0.94,2014,FALSE
Unfreedom of the Press,Mark R. Levin,4.9,8541,11.16,2019,FALSE
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,14973,1,2019,FALSE
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,7906,7,2016,FALSE
Untamed,Glennon Doyle,4.6,1697195,4.99,2020,FALSE
Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,4,30933,5.92,2020,FALSE
Water for Elephants: A Novel,Sara Gruen,4.6,9784,10.38,2011,TRUE
What Happened,Hillary Rodham Clinton,4.6,6498,13.28,2017,FALSE
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,15226,2.12,2014,FALSE
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.8,4776,0.99,2015,TRUE
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,17831,3.65,2020,FALSE
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,17831,3.65,2019,FALSE
What to Expect When You're Expecting,Heidi Murkoff,4.4,3619,19.19,2011,FALSE
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,8290,0.35,2012,FALSE
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,8290,0.35,2013,FALSE
When Breath Becomes Air,Paul Kalanithi,4.7,20844,14.63,2016,FALSE
Where the Crawdads Sing,Delia Owens,4.6,1697195,2.32,2019,TRUE
Where the Crawdads Sing,Delia Owens,4.6,1697195,2.32,2020,TRUE
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.5,35424,2.41,2020,FALSE
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with・ｦ,4.6,9265,9.97,2018,FALSE
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.5,20640,15.35,2012,TRUE
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.6,14360,12.97,2012,TRUE
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.3,1721,15.88,2010,FALSE
Wonder,R. J. Palacio,4.8,30845,0.35,2017,TRUE
Wonder,R. J. Palacio,4.8,30845,0.35,2015,TRUE
Wonder,R. J. Palacio,4.8,30845,0.35,2013,TRUE
Wonder,R. J. Palacio,4.8,30845,0.35,2014,TRUE
Wonder,R. J. Palacio,4.8,30845,0.35,2016,TRUE
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,16016,1.74,2019,TRUE
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,28561,1.17,2019,TRUE
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,28561,1.17,2018,TRUE
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,28561,1.17,2017,TRUE
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,28561,1.17,2016,TRUE
